time,/cells[0]/CellGroup_1_0[0]/Comp_1_0[0]
0.0686,-0.0728387485328
0.0687,-0.0727094719159
0.0688,-0.0725782725643
0.0689,-0.0724452139725
0.069,-0.0723103509226
0.0691,-0.0721737562174
0.0692,-0.0720354955153
0.0693,-0.0718956442753
0.0694,-0.0717542609017
0.0695,-0.0716114225258
0.0696,-0.0714671963824
0.0697,-0.0713216536529
0.0698,-0.0711748697812
0.0699,-0.0710269349102
0.07,-0.0708779112263
0.0701,-0.0707278516265
0.0702,-0.0705768667234
0.0703,-0.0704250243228
0.0704,-0.0702723975695
0.0705,-0.0701190696604
0.0706,-0.0699651261837
0.0707,-0.0698106344197
0.0708,-0.0696556740867
0.0709,-0.0695003101592
0.071,-0.0693446182693
0.0711,-0.0691886590996
0.0712,-0.0690325148512
0.0713,-0.0688762532073
0.0714,-0.0687199305372
0.0715,-0.0685636259277
0.0716,-0.0684073962013
0.0717,-0.0682512952269
0.0718,-0.0680953853129
0.0719,-0.0679397193133
0.072,-0.0677843466186
0.0721,-0.0676293333681
0.0722,-0.0674747112877
0.0723,-0.0673205330863
0.0724,-0.067166849508
0.0725,-0.0670136805574
0.0726,-0.0668610858286
0.0727,-0.0667090855435
0.0728,-0.0665576933591
0.0729,-0.0664069684621
0.073,-0.0662569146578
0.0731,-0.0661075666991
0.0732,-0.0659589426017
0.0733,-0.0658110553447
0.0734,-0.0656639292155
0.0735,-0.0655175610464
0.0736,-0.0653719552795
0.0737,-0.065227136229
0.0738,-0.0650830965797
0.0739,-0.0649398496969
0.074,-0.0647973684561
0.0741,-0.064655667822
0.0742,-0.0645147326727
0.0743,-0.064374532425
0.0744,-0.0642350874952
0.0745,-0.0640963812876
0.0746,-0.0639583908017
0.0747,-0.063821069765
0.0748,-0.0636844247256
0.0749,-0.0635484159516
0.075,-0.0634130165649
0.0751,-0.0632781984536
0.0752,-0.0631439353735
0.0753,-0.0630101962194
0.0754,-0.0628769413634
0.0755,-0.0627441052003
0.0756,-0.0626116560801
0.0757,-0.062479535626
0.0758,-0.0623477040614
0.0759,-0.0622160945031
0.076,-0.062084645342
0.0761,-0.0619533049811
0.0762,-0.0618219986829
0.0763,-0.0616906278466
0.0764,-0.0615591053577
0.0765,-0.0614273533335
0.0766,-0.0612952402149
0.0767,-0.0611626756304
0.0768,-0.0610295554085
0.0769,-0.0608957426197
0.077,-0.0607610637738
0.0771,-0.0606253487377
0.0772,-0.060488407599
0.0773,-0.0603500354991
0.0774,-0.0602100120986
0.0775,-0.0600680779198
0.0776,-0.0599239349607
0.0777,-0.0597772283727
0.0778,-0.0596275769284
0.0779,-0.0594745207203
0.078,-0.0593175664613
0.0781,-0.0591561253819
0.0782,-0.0589895173599
0.0783,-0.0588169304743
0.0784,-0.0586373984786
0.0785,-0.0584497921694
0.0786,-0.0582527707087
0.0787,-0.0580447394632
0.0788,-0.0578237424226
0.0789,-0.0575873829794
0.079,-0.0573326910768
0.0791,-0.0570560207649
0.0792,-0.0567527503025
0.0793,-0.0564169477317
0.0794,-0.0560409453816
0.0795,-0.0556146642841
0.0796,-0.0551245191065
0.0797,-0.0545519328162
0.0798,-0.0538707383127
0.0799,-0.0530430825863
0.08,-0.0523182864092
0.0801,-0.0516115814333
0.0802,-0.0505717696493
0.0803,-0.0491018001536
0.0804,-0.047003225573
0.0805,-0.0438973921753
0.0806,-0.0390436347802
0.0807,-0.0309396694161
0.0808,-0.0167163116733
0.0809,0.00627206786272
0.081,0.0285718799084
0.0811,0.0353980441339
0.0812,0.0339854727965
0.0813,0.0304542903533
0.0814,0.0260039416689
0.0815,0.0210341862079
0.0816,0.0157955976304
0.0817,0.0104617417154
0.0818,0.00514902244652
0.0819,-7.00062245114e-05
0.082,-0.00515548387442
0.0821,-0.0100912028837
0.0822,-0.0148780038407
0.0823,-0.0195308050629
0.0824,-0.0240798716856
0.0825,-0.0285764216116
0.0826,-0.0331042397938
0.0827,-0.0377919220319
0.0828,-0.0428233934384
0.0829,-0.0484217645634
0.083,-0.0547488521006
0.0831,-0.0616026360792
0.0832,-0.0680096253531
0.0833,-0.0726110050852
0.0834,-0.0750785102139
0.0835,-0.0761637747675
0.0836,-0.0766048611652
0.0837,-0.0767821780453
0.0838,-0.0768539857156
0.0839,-0.0768826693296
0.084,-0.0768930994049
0.0841,-0.0768954474579
0.0842,-0.0768940005298
0.0843,-0.0768906366009
0.0844,-0.0768862575942
0.0845,-0.0768812678265
0.0846,-0.076875827714
0.0847,-0.0768700523049
0.0848,-0.0768639740102
0.0849,-0.076857627219
0.085,-0.0768510372471
0.0851,-0.0768441907326
0.0852,-0.0768370600329
0.0853,-0.0768296721851
0.0854,-0.0768220292375
0.0855,-0.0768141137998
0.0856,-0.0768059251405
0.0857,-0.0767974553074
0.0858,-0.0767886989611
0.0859,-0.0767796559908
0.086,-0.076770328013
0.0861,-0.0767606993084
0.0862,-0.076750791562
0.0863,-0.0767405679826
0.0864,-0.0767300382699
0.0865,-0.076719201944
0.0866,-0.0767080556229
0.0867,-0.0766966015772
0.0868,-0.0766848370616
0.0869,-0.0766727627008
0.087,-0.0766603490774
0.0871,-0.076647637529
0.0872,-0.0766346148388
0.0873,-0.0766212555826
0.0874,-0.0766075679112
0.0875,-0.0765935558496
0.0876,-0.0765792353668
0.0877,-0.076564603673
0.0878,-0.0765496426487
0.0879,-0.076534362346
0.088,-0.0765187715319
0.0881,-0.0765028492099
0.0882,-0.0764866319126
0.0883,-0.0764701036716
0.0884,-0.0764532441636
0.0885,-0.0764361141384
0.0886,-0.0764186639338
0.0887,-0.0764009051722
0.0888,-0.0763828611091
0.0889,-0.0763645290247
0.089,-0.0763458990649
0.0891,-0.0763269931409
0.0892,-0.0763077953364
0.0893,-0.0762883161577
0.0894,-0.0762685785541
0.0895,-0.0762485806225
0.0896,-0.0762283191437
0.0897,-0.0762078046256
0.0898,-0.0761870334035
0.0899,-0.0761660084308
0.09,-0.0761447503792
0.0901,-0.0761232638297
0.0902,-0.0761015503821
0.0903,-0.0760796028374
0.0904,-0.0760574492841
0.0905,-0.076035108096
0.0906,-0.0760125739778
0.0907,-0.0759898407687
0.0908,-0.075966904883
0.0909,-0.0759437821252
0.091,-0.075920491125
0.0911,-0.075897020456
0.0912,-0.0758733974188
0.0913,-0.0758496047029
0.0914,-0.0758256761562
0.0915,-0.0758015985996
0.0916,-0.0757773781262
0.0917,-0.075753025383
0.0918,-0.0757285454771
0.0919,-0.0757039477248
0.092,-0.0756792320322
0.0921,-0.0756544219092
0.0922,-0.075629500185
0.0923,-0.0756045033377
0.0924,-0.0755793999917
0.0925,-0.0755542357768
0.0926,-0.0755289975063
0.0927,-0.0755036856859
0.0928,-0.0754783153398
0.0929,-0.0754528766492
0.093,-0.0754274145369
