time,soma
78.949  ,2.07059
78.9801 ,0.477295
79.0111 ,-1.10118
79.0421 ,-2.66406
79.1011 ,-5.58809
79.16   ,-8.4516
79.219  ,-11.2542
79.278  ,-13.9973
79.3369 ,-16.6831
79.3959 ,-19.3156
79.5004 ,-23.8679
79.6049 ,-28.3159
79.7094 ,-32.7295
79.8139 ,-37.2077
79.8827 ,-40.2582
79.9514 ,-43.447
80      ,-45.8059
80      ,-45.8059
80.0001 ,-45.8276
80.0002 ,-45.8451
80.0003 ,-45.8686
80.0004 ,-45.8881
80.0008 ,-45.9355
80.0012 ,-45.9765
80.0015 ,-46.0159
80.0019 ,-46.0546
80.0028 ,-46.1381
80.004  ,-46.2615
80.0053 ,-46.3784
80.0066 ,-46.4903
80.0086 ,-46.6512
80.0105 ,-46.8054
80.0124 ,-46.9541
80.0157 ,-47.1973
80.019  ,-47.4312
80.0248 ,-47.8291
80.0306 ,-48.2128
80.0364 ,-48.5869
80.0423 ,-48.9538
80.0481 ,-49.3152
80.0573 ,-49.882
80.0666 ,-50.4418
80.0759 ,-50.9975
80.0903 ,-51.8563
80.1047 ,-52.7139
80.119  ,-53.573
80.1449 ,-55.1252
80.1708 ,-56.6867
80.1967 ,-58.2522
80.2225 ,-59.8119
80.2484 ,-61.3538
80.2743 ,-62.8631
80.3002 ,-64.3235
80.326  ,-65.7182
80.3519 ,-67.0322
80.3778 ,-68.2529
80.4037 ,-69.3715
80.4295 ,-70.3828
80.4554 ,-71.2862
80.4813 ,-72.0846
80.5071 ,-72.7838
80.533  ,-73.3917
80.5589 ,-73.9172
80.5848 ,-74.3696
80.6106 ,-74.758
80.6365 ,-75.0908
80.6624 ,-75.3757
80.6883 ,-75.6194
80.7141 ,-75.8277
80.74   ,-76.0058
80.7659 ,-76.1578
80.7917 ,-76.2877
80.8176 ,-76.3984
80.8435 ,-76.4927
80.8694 ,-76.5729
80.8952 ,-76.641
80.9211 ,-76.6986
80.947  ,-76.7474
80.9729 ,-76.7884
80.9987 ,-76.823
81.0398 ,-76.8668
81.081  ,-76.8998
81.1221 ,-76.9245
81.1632 ,-76.943
81.2251 ,-76.9624
81.2869 ,-76.9749
81.3488 ,-76.983
81.4106 ,-76.9883
81.4725 ,-76.9918
81.5343 ,-76.9941
81.5961 ,-76.9956
81.6901 ,-76.997
81.784  ,-76.9977
81.878  ,-76.998
81.9719 ,-76.9983
82.0659 ,-76.9984
82.2502 ,-76.9986
82.4345 ,-76.9986
82.6188 ,-76.9984
82.8031 ,-76.9981
82.9873 ,-76.9977
83.4756 ,-76.9966
83.9638 ,-76.9954
84.452  ,-76.9942
84.9402 ,-76.9928
85.9892 ,-76.9887
87.0383 ,-76.9832
88.0873 ,-76.976
89.1364 ,-76.9675
90.9041 ,-76.9499
92.6718 ,-76.929
95.4112 ,-76.8915
98.1507 ,-76.8494
